"137	LSAT (Reading Comprehension)	133	57	58	17	2",,
"134	LSAT (Analytical Reasoning)	133	51	52	17	2",,
"71	TOEFL (Reading)	69	165	166	17	2",,
"72	TOEFL (Speaking)	69	167	168	17	2",,
"139	ISEE (Essay)	138	39	40	17	2",,
"37	Elementary	27	23	24	3	2",,
"359	Literacy	358	2	13	6	1",,
"421	LISP 	410	77	78	4	2",,
"413	C++ 	410	65	66	4	2",,
"387	ASP.NET	386	97	98	4	2",,
"389	Dreamweaver	386	101	102	4	2",,
"123	PSAT (Math)	122	69	70	17	2",,
"147	GMAT (Analytical Writing)	67	21	22	17	2",,
"106	French Regents High School	101	89	90	17	2",,
"111	Spanish Regents High School	101	105	106	17	2",,
"115	Science Regents Intermediate	112	113	114	17	2",,
"391	Mathematica	386	105	106	4	2",,
"392	Maya	386	107	108	4	2",,
"393	Pascal	386	111	112	4	2",,
"394	Revit	386	113	114	4	2",,
"395	SAS	386	115	116	4	2",,
"396	SPSS	386	117	118	4	2",,
"397	STATA	386	119	120	4	2",,
"398	Oracle	386	109	110	4	2",,
"401	others Computer	384	122	131	4	1",,
"402	Networking (Computer)	401	129	130	4	2",,
"103	ELA Regents High School	101	87	88	17	2",,
"136	LSAT (Logical Reasoning)	133	55	56	17	2",,
"51	ACT Math	49	5	6	17	2",,
"403	General Computer	401	127	128	4	2",,
"404	Desktop Publishing	401	125	126	4	2",,
"549	Voice (Music)	529	41	42	12	2",,
"458	Econometrics	439	11	12	2	2",,
"150	GMAT (Verbal)	67	27	28	17	2",,
"126	Praxis	54	193	194	17	2",,
"95	SAT II US History	83	149	150	17	2",,
"88	SAT II Latin	83	135	136	17	2",,
"77	SSAT (Math)	76	155	156	17	2",,
"78	SSAT (Verbal)	76	157	158	17	2",,
"55	AFOQT	54	173	174	17	2",,
"97	SAT 	48	118	125	17	1",,
"142	ISEE (Reading Comprehension)	138	45	46	17	2",,
"9	Advanced Cantonese	8	11	12	10	2",,
"198	Arabic	7	2	9	10	1",,
"10	Beginner Cantonese	8	13	14	10	2",,
"208	French	7	50	57	10	1",,
"254	Beginner Sign Language	206	173	174	10	2",,
"201	Russian	7	162	169	10	1",,
"8	Cantonese	7	10	17	10	1",,
"209	Indonesian	7	90	97	10	1",,
"250	Intermediate Turkish	202	191	192	10	2",,
"252	Advanced Russian	201	163	164	10	2",,
"232	Beginner Dutch	215	37	38	10	2",,
"226	Intermediate Chinese	207	23	24	10	2",,
"563	Architecture	560	3	4	13	2",,
"431	Artificial Intelligence	2	25	26	4	2",,
"40	High school: Algebra	27	25	26	3	2",,
"303	Pre-algebra	291	5	6	11	2",,
"41	High school: Functions	27	27	28	3	2",,
"39	High school: Number & Quantity	27	33	34	3	2",,
"42	High school: Modelling	27	31	32	3	2",,
"43	High school: Geometry	27	29	30	3	2",,
"25	Common Core		1	40	3	0",,
"27	Common Core Mathematics	25	22	39	3	1",,
"38	Middle	27	37	38	3	2",,
"44	High school: Statistics & Probability 	27	35	36	3	2",,
"531	Clarinet	529	5	6	12	2",,
"532	Composition (Music)	529	7	8	12	2",,
"533	Drums	529	9	10	12	2",,
"534	Ear Training	529	11	12	12	2",,
"535	Flute	529	13	14	12	2",,
"536	General Music	529	15	16	12	2",,
"537	Guitar	529	17	18	12	2",,
"538	Music History	529	19	20	12	2",,
"470	Microsoft Publisher	409	51	52	4	2",,
"539	Music Theory	529	21	22	12	2",,
"540	Oboe	529	23	24	12	2",,
"541	Piano	529	25	26	12	2",,
"542	Salsa Dancing	529	27	28	12	2",,
"543	Saxophone	529	29	30	12	2",,
"471	Microsoft Windows	409	53	54	4	2",,
"414	CSS	410	67	68	4	2",,
"415	Fortran	410	59	60	4	2",,
"422	Perl 	410	81	82	4	2",,
"423	PHP 	410	79	80	4	2",,
"424	Python 	410	83	84	4	2",,
"455	Macroeconomics (AP/College Intro)	439	13	14	2	2",,
"472	Microsoft Word	409	55	56	4	2",,
"544	Sight Singing	529	31	32	12	2",,
"304	Algebra 1	291	7	8	11	2",,
"545	Songwriting	529	33	34	12	2",,
"295	Actuarial Science	294	35	36	11	2",,
"224	Advanced Arabic	198	3	4	10	2",,
"296	Differential Equations	294	37	38	11	2",,
"289	Advanced Portuguese	214	147	148	10	2",,
"205	Latin	7	122	129	10	1",,
"283	Advanced Mandarin	228	131	132	10	2",,
"270	Advanced Indonesian	209	91	92	10	2",,
"236	Intermediate French	208	55	56	10	2",,
"231	Advanced Czech	211	27	28	10	2",,
"203	Farsi	7	42	49	10	1",,
"128	MCSA	54	189	190	17	2",,
"98	SAT math	97	119	120	17	2",,
"79	SSAT (Writing)	76	159	160	17	2",,
"89	SAT II Literature	83	137	138	17	2",,
"84	SAT II Chemistry	83	127	128	17	2",,
"130	MCAT (Biological Science)	129	61	62	17	2",,
"146	GRE (Verbal)	68	35	36	17	2",,
